"grammatical knowledge"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|knowledge"	""	""	""	"O"
"grammatical knowledge"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|knowledge"	""	""	""	"O"
"grammatical pattern"	"грамматическая модель"	"грам."	"1"	"grammatical pattern"	"цельное слово"	"dkozyr"	"/m.exe?a=116&UserName=dkozyr"	"dkozyr"	"X"
"grammatical morphology"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morphology"	""	""	""	"X"
"grammatical morphology"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morphology"	""	""	""	"O"
"grammatical morphology"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morphology"	""	""	""	"O"
"grammatical morphology"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morphology"	""	""	""	"O"
"grammatical phenomenon"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|phenomenon"	""	""	""	"X"
"grammatical phenomenon"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|phenomenon"	""	""	""	"O"
"grammatical phenomenon"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|phenomenon"	""	""	""	"O"
"grammatical phenomenon"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|phenomenon"	""	""	""	"O"
"grammatical measure"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|measure"	""	""	""	"X"
"grammatical measure"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|measure"	""	""	""	"O"
"grammatical measure"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|measure"	""	""	""	"O"
"grammatical measure"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|measure"	""	""	""	"O"
"grammatical principle"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|principle"	""	""	""	"X"
"grammatical principle"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|principle"	""	""	""	"O"
"grammatical principle"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|principle"	""	""	""	"O"
"grammatical principle"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|principle"	""	""	""	"O"
"grammatical morpheme"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morpheme"	""	""	""	"X"
"grammatical morpheme"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morpheme"	""	""	""	"O"
"grammatical morpheme"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morpheme"	""	""	""	"O"
"grammatical morpheme"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|morpheme"	""	""	""	"O"
"grammatical property"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|property"	""	""	""	"X"
"grammatical property"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|property"	""	""	""	"O"
"grammatical property"	"грамматичный"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|property"	""	""	""	"O"
"grammatical property"	"построенный по правилам"	"лингв."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|property"	""	""	""	"O"
"grammatical processing"	"грамматический"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|processing"	""	""	""	"X"
"grammatical processing"	"грамматически правильный"	"общ."	"1"	"grammatical grə'mætɪk(ə)l прил."	"найдены отдельные слова  : grammatical|processing"	""	""	""	"O"
